fecha,ciudad,visitas_tienda,pedidos_tienda,pedidos_click_collect,tasa_conversion_tienda_pct,sesiones_web,pedidos_online,tasa_conversion_web_pct,rebajas_flag,black_friday_flag,navidad_flag,payday_flag,festivo_local_flag,lluvia_indice,temperatura_media_c,turismo_indice,incidencia_ecommerce_flag
2020-01-01,Madrid,25,5.0,6.0,0.2038,316,7.0,0.0411,0,0,0,1,0,62.2,4.2,30.8,0
2020-01-01,Barcelona,77,16.0,2.0,0.2091,314,9.0,0.035,0,0,0,1,0,63.3,12.0,21.9,0
2020-01-01,Valencia,45,9.0,5.0,0.2018,245,4.0,0.0368,0,0,0,1,0,43.8,9.6,15.9,0
2020-01-01,Sevilla,19,4.0,0.0,0.2099,121,4.0,0.033,0,0,0,1,0,53.3,13.7,20.8,0
2020-01-01,Malaga,37,9.0,0.0,0.2409,126,4.0,0.0317,0,0,0,1,0,55.7,15.4,52.2,0
2020-01-01,Zaragoza,29,6.0,0.0,0.207,117,4.0,0.0342,0,0,0,1,0,48.2,0.9,6.4,0
2020-01-01,Bilbao,52,9.0,1.0,0.1731,177,6.0,0.0395,0,0,0,1,0,77.3,9.9,0.0,0
2020-01-01,Murcia,22,4.0,1.0,0.1836,184,6.0,0.038,0,0,0,1,0,72.5,12.1,26.5,0
2020-01-01,Palma,16,3.0,3.0,0.193,193,5.0,0.0415,0,0,0,1,0,56.8,10.6,54.6,0
2020-01-01,A Coruna,16,3.0,1.0,0.191,132,4.0,0.0377,0,0,0,1,0,78.7,8.3,25.7,0
2020-01-02,Madrid,44,9.0,2.0,0.2059,241,7.0,0.0373,0,0,0,1,0,76.3,7.3,38.0,0
2020-01-02,Barcelona,53,13.0,5.0,0.2463,326,6.0,0.0338,0,0,0,1,0,42.0,13.9,54.1,0
2020-01-02,Valencia,47,10.0,1.0,0.2113,232,7.0,0.0345,0,0,0,1,0,54.0,5.3,34.8,0
2020-01-02,Sevilla,9,2.0,3.0,0.2142,190,4.0,0.0369,0,0,0,1,0,56.6,10.4,43.8,0
2020-01-02,Malaga,26,6.0,4.0,0.2332,315,9.0,0.0412,0,0,0,1,0,39.8,10.0,44.1,0
2020-01-02,Zaragoza,29,6.0,1.0,0.2095,125,3.0,0.032,0,0,0,1,0,65.6,0.7,30.8,0
2020-01-02,Bilbao,10,2.0,1.0,0.1928,51,1.0,0.0394,0,0,0,1,0,73.3,10.9,11.4,0
2020-01-02,Murcia,32,7.0,3.0,0.222,141,2.0,0.0354,0,0,0,1,0,47.3,8.8,26.3,0
2020-01-02,Palma,4,1.0,2.0,0.2297,159,4.0,0.0376,0,0,0,1,0,45.9,8.7,21.8,0
2020-01-02,A Coruna,21,4.0,1.0,0.1923,171,6.0,0.041,0,0,0,1,0,88.5,13.0,13.3,0
2020-01-03,Madrid,34,7.0,3.0,0.2083,470,11.0,0.0298,0,0,0,1,0,49.0,6.9,32.2,0
2020-01-03,Barcelona,70,17.0,2.0,0.2424,213,4.0,0.0282,0,0,0,1,0,37.1,7.9,28.6,0
2020-01-03,Valencia,27,6.0,1.0,0.2191,147,4.0,0.0339,0,0,0,1,0,43.8,3.9,33.5,0
2020-01-03,Sevilla,26,5.0,2.0,0.1907,161,4.0,0.0372,0,0,0,1,0,66.3,14.6,23.8,0
2020-01-03,Malaga,31,7.0,3.0,0.2243,191,3.0,0.0315,0,0,0,1,0,53.5,12.0,64.5,0
2020-01-03,Zaragoza,21,5.0,0.0,0.2351,135,4.0,0.0296,0,0,0,1,0,49.8,7.9,0.0,0
2020-01-03,Bilbao,30,6.0,1.0,0.2021,112,3.0,0.0357,0,0,0,1,0,78.4,7.3,22.1,0
2020-01-03,Murcia,36,8.0,2.0,0.2213,103,1.0,0.029,0,0,0,1,0,41.3,4.8,34.7,0
2020-01-03,Palma,32,7.0,2.0,0.2192,176,5.0,0.0398,0,0,0,1,0,47.5,5.9,34.5,0
2020-01-03,A Coruna,9,2.0,4.0,0.2109,126,1.0,0.0398,0,0,0,1,0,77.2,6.8,45.0,0
2020-01-04,Madrid,75,16.0,4.0,0.2136,492,12.0,0.0325,0,0,0,1,0,66.4,5.4,41.3,0
2020-01-04,Barcelona,41,10.0,3.0,0.2444,282,8.0,0.039,0,0,0,1,0,53.2,8.3,31.8,0
2020-01-04,Valencia,40,8.0,3.0,0.2017,144,3.0,0.0417,0,0,0,1,0,65.5,11.7,29.4,0
2020-01-04,Sevilla,26,6.0,5.0,0.2305,218,3.0,0.0367,0,0,0,1,0,43.1,9.1,28.9,0
2020-01-04,Malaga,27,6.0,4.0,0.226,298,6.0,0.0336,0,0,0,1,0,35.0,12.2,44.9,0
2020-01-04,Zaragoza,35,8.0,1.0,0.2294,122,3.0,0.0328,0,0,0,1,0,39.9,0.8,16.0,0
2020-01-04,Bilbao,32,7.0,2.0,0.2154,166,5.0,0.0423,0,0,0,1,0,72.5,6.2,9.4,0
2020-01-04,Murcia,24,5.0,0.0,0.2103,108,4.0,0.037,0,0,0,1,0,66.1,13.3,0.0,0
2020-01-04,Palma,29,7.0,3.0,0.2442,257,5.0,0.0311,0,0,0,1,0,40.7,11.9,43.4,0
2020-01-04,A Coruna,27,5.0,2.0,0.1823,154,4.0,0.039,0,0,0,1,0,71.3,7.8,1.2,0
2020-01-05,Madrid,73,16.0,2.0,0.2198,318,9.0,0.0346,0,0,0,1,0,39.3,6.4,41.5,0
2020-01-05,Barcelona,80,17.0,3.0,0.2131,333,9.0,0.0361,0,0,0,1,0,47.6,12.5,42.4,0
2020-01-05,Valencia,42,9.0,1.0,0.2148,89,2.0,0.0338,0,0,0,1,0,58.9,9.1,15.5,1
2020-01-05,Sevilla,14,3.0,2.0,0.2092,147,4.0,0.0409,0,0,0,1,0,61.0,12.6,13.1,0
2020-01-05,Malaga,52,11.0,2.0,0.2111,225,6.0,0.0356,0,0,0,1,0,64.2,13.6,49.8,0
2020-01-05,Zaragoza,17,4.0,2.0,0.2287,193,5.0,0.0363,0,0,0,1,0,41.8,3.6,14.9,0
2020-01-05,Bilbao,25,5.0,1.0,0.1981,88,2.0,0.0341,0,0,0,1,0,63.9,4.9,17.9,0
2020-01-05,Murcia,56,12.0,1.0,0.2149,175,5.0,0.0344,0,0,0,1,0,75.5,12.4,24.3,0
2020-01-05,Palma,28,6.0,2.0,0.2153,132,3.0,0.0378,0,0,0,1,0,56.6,6.0,53.2,0
2020-01-05,A Coruna,21,4.0,1.0,0.1882,188,7.0,0.0426,0,0,0,1,0,69.4,5.2,0.0,0
2020-01-06,Madrid,32,7.0,4.0,0.2205,643,16.0,0.0311,0,0,0,0,0,54.4,5.6,48.9,0
2020-01-06,Barcelona,54,11.0,5.0,0.2051,381,10.0,0.0394,0,0,0,0,0,67.3,6.7,47.2,0
2020-01-06,Valencia,21,5.0,2.0,0.2326,223,5.0,0.0314,0,0,0,0,0,38.1,13.7,27.0,0
2020-01-06,Sevilla,25,5.0,2.0,0.1966,191,4.0,0.0314,0,0,0,0,0,67.3,11.8,13.0,0
2020-01-06,Malaga,59,12.0,2.0,0.2034,197,5.0,0.0356,0,0,0,0,0,54.2,12.9,47.9,0
2020-01-06,Zaragoza,46,8.0,1.0,0.173,121,3.0,0.033,0,0,0,0,0,58.7,7.5,0.0,0
2020-01-06,Bilbao,23,4.0,1.0,0.1772,50,1.0,0.0396,0,0,0,0,0,83.3,7.3,11.5,0
2020-01-06,Murcia,44,8.0,4.0,0.1833,208,3.0,0.0336,0,0,0,0,0,51.3,10.5,12.9,0
2020-01-06,Palma,5,1.0,2.0,0.2034,58,0.0,0.0345,0,0,0,0,0,70.6,7.5,65.7,0
2020-01-06,A Coruna,17,3.0,0.0,0.1746,53,2.0,0.0379,0,0,0,0,0,99.9,10.9,25.8,0
2020-01-07,Madrid,48,12.0,6.0,0.2504,265,7.0,0.0491,1,0,0,0,0,53.9,0.9,25.3,0
2020-01-07,Barcelona,55,13.0,3.0,0.2376,146,5.0,0.0548,1,0,0,0,0,54.7,8.8,46.9,0
